hyponym,hypernym,label,split
key,something,1,train
rhuddlan,town,1,train
blackbeard,pirate,1,train
agent,europe,0,train
contribution,benefit,0,train
feldspar,mineral,1,train
myspace,website,1,train
landscape,art,0,train
quoit,sport,1,train
technology,cooperation,0,train
victim,example,0,train
nakhi,minority,1,train
match,event,1,train
pumi,minority,0,train
tarkan,artist,1,train
atom,sphere,0,train
plant,climbing,0,train
greenpeace,group,1,train
yak,asia,0,train
zeus,punishment,0,train
water,liquid,1,train
ptsd,stress,0,train
vegetable,product,1,train
cherry,drupe,1,train
way,rand,0,train
dermatology,area,1,train
germany,country,1,train
learning,biology,0,train
bumblebee,member,0,train
herzegovina,part,0,train
norway,europe,0,train
asclepius,god,1,train
processing,duty,0,train
africa,place,1,train
krypto,member,0,train
shenouda,pope,1,train
medicine,field,1,train
thing,protector,0,train
illness,stress,0,train
boxing,sport,1,train
mole,badger,0,train
ethic,field,1,train
human,mammal,1,train
hertsa,place,1,train
string,item,1,train
september,canada,0,train
illinois,town,0,train
kabbalah,topic,1,train
part,education,0,train
marriage,outcome,0,train
mosquito,insect,1,train
energy,cooperation,0,train
brisbane,australia,0,train
life,aliadriatica,0,train
fencing,sport,1,train
terrorism,theme,0,train
virtue,basis,0,train
elk,animal,1,train
meningitis,complication,0,train
stephenville,town,1,train
germans,immigrant,0,train
vanilla,form,0,train
flour,part,1,train
achang,minority,1,train
magnetometer,feature,0,train
yamamah,town,1,train
fish,protein,0,train
law,son,0,train
paroxetine,drug,1,train
seaport,sector,0,train
herding,field,0,train
russert,part,0,train
tsunami,event,1,train
education,study,0,train
california,state,1,train
silk,good,1,train
hospital,complex,0,train
flint,town,1,train
phosphoru,nutrient,1,train
thewall,obstacle,0,train
sightseeing,business,0,train
oil,commodity,1,train
mtv,europe,0,train
pollutant,irritant,0,train
skype,service,1,train
taxation,sector,0,train
none,age,0,train
president,politician,1,train
taiwan,country,1,train
coffee,frivolity,0,train
television,harveytoons,0,train
honeybee,insect,1,train
english,language,1,train
bulgaria,country,1,train
cartier,brand,1,train
muse,band,1,train
work,zealand,0,train
collapse,threat,1,train
jinuo,minority,1,train
mortgage,asset,0,train
drought,factor,1,train
movement,issue,0,train
gallery,year,0,train
refugee,migrant,1,train
computer,product,1,train
megsprogohas,what,0,train
depression,issue,0,train
palestine,conflict,0,train
caustic,madison,0,train
lyon,city,1,train
hantavirus,virus,1,train
rope,item,1,train
grease,emulsion,1,train
france,administrator,0,train
leptin,hormone,1,train
sperm,energy,0,train
duty,cag,0,train
sunnis,thought,0,train
anakin,slave,0,train
box,pet,0,train
policy,racism,0,train
castro,city,1,train
one,rebellion,0,train
piedmont,area,1,train
office,president,0,train
adidas,brand,1,train
supervisors,part,0,train
fish,good,1,train
mamuša,location,1,train
sweden,example,0,train
lsd,psychedelic,1,train
australia,jurisdiction,0,train
prison,part,0,train
turkey,food,1,train
microsoft,company,1,train
gem,good,1,train
detroit,city,1,train
gesture,item,0,train
interview,video,0,train
lsd,drug,1,train
president,ohio,0,train
search,technology,1,train
release,deed,0,train
california,place,1,train
karnataka,place,1,train
chicago,city,1,train
registration,measure,0,train
swimming,activity,1,train
mathematic,course,1,train
gravel,sand,0,train
gymnogene,raptor,1,train
mammal,organism,1,train
larsen,recruiter,1,train
melbourne,part,0,train
orange,fruit,1,train
marin,commander,0,train
cancún,location,1,train
chemical,adenosine,0,train
morocco,country,1,train
florida,part,0,train
hero,part,0,train
smoke,material,0,train
philosophy,subject,1,train
what,bird,0,train
gamestop,company,1,train
life,publication,1,train
form,situation,0,train
syndecan,protein,1,train
trillium,plant,1,train
narcolepsy,condition,1,train
cartel,act,0,train
economic,topic,1,train
texas,school,1,train
tikal,city,1,train
bronze,material,1,train
apparel,good,1,train
canada,country,1,train
surprise,emotion,1,train
a4,vehicle,1,train
nike,brand,1,train
yokohama,part,0,train
time,part,0,train
economics,area,1,train
priority,freedom,0,train
canada,nation,1,train
massachusetts,state,1,train
barcelona,location,1,train
osteoblast,cell,1,train
genesis,group,1,train
bird,prey,1,train
vibration,part,0,train
coal,material,1,train
alertness,amphetamine,0,train
yajna,event,1,train
duty,teacher,0,train
lobola,marriage,0,train
russia,part,0,train
jew,person,1,train
helpdesk,charge,0,train
zealand,australia,0,train
cricket,sport,1,train
clifton,clifton,0,train
battlefield,resource,0,train
lawyer,professional,1,train
europe,place,1,train
gospel,genre,1,train
safari,default,0,train
pedestrian,road,0,train
yoga,technique,1,train
iron,deposit,1,train
costume,item,1,train
television,service,1,train
egg,food,1,train
juventus,club,1,train
master,rank,1,train
lake,ecosystem,1,train
england,lord,0,train
clove,ingredient,1,train
transgenderism,issue,0,train
sociology,subject,1,train
galactose,carbohydrate,1,train
smoking,intake,0,train
maid,profession,1,train
maker,program,0,train
contamination,source,0,train
combichrist,artist,1,train
immigration,sector,0,train
air,ray,0,train
python,language,1,train
land,water,0,train
breed,reward,0,train
healthcare,context,0,train
clausaor,dress,0,train
meat,food,1,train
veteran,artist,0,train
addiction,issue,1,train
newspaper,progress,0,train
xenophon,leader,1,train
greeks,people,1,train
rock,genre,1,train
tea,food,1,train
folk,genre,1,train
casino,place,1,train
bengali,english,0,train
damage,farming,0,train
japan,toyota,0,train
uruguay,country,1,train
cadherin,protein,1,train
gothic,title,0,train
service,charity,0,train
osteocyte,cell,1,train
photoshop,editor,1,train
karakon,group,0,train
gauge,accessory,0,train
trade,sector,1,train
cotton,textile,1,train
soap,product,1,train
exposure,factor,0,train
myka,rapper,1,train
bosnia,part,0,train
dizziness,quinapril,0,train
pharcyde,artist,1,train
size,characteristic,1,train
cotton,product,1,train
portugal,country,1,train
education,factor,0,train
codice26,parameter,0,train
iron,material,1,train
nausea,problem,1,train
surrogacy,theme,0,train
metalworking,industry,1,train
gangstarr,act,1,train
europe,part,0,train
sweden,europe,0,train
crabgrass,grass,1,train
party,event,1,train
life,damian,0,train
blang,minority,1,train
family,institution,1,train
protestantism,religion,1,train
thought,memory,0,train
ibex,wildlife,0,train
metz,manufacturer,1,train
sharing,advantage,0,train
rhea,herodotus,0,train
sight,ben,0,train
penitentes,resort,1,train
france,paris,0,train
suncor,company,1,train
numbat,animal,1,train
water,beverage,1,train
duration,factor,0,train
pharmacology,field,1,train
speedwriting,system,1,train
banana,product,1,train
something,utility,0,train
respect,anything,0,train
shrew,note,0,train
walmley,area,1,train
shipbuilding,industry,1,train
ndtv,organisation,1,train
slayer,band,1,train
image,memory,0,train
failure,india,0,train
senegal,country,1,train
closing,interaction,0,train
rice,grain,1,train
cable,transport,0,train
asia,representative,0,train
roma,group,1,train
oil,seasoning,0,train
oyster,shellfish,1,train
hazel,specie,1,train
symptom,diarrhea,0,train
fiber,cotton,0,train
headache,problem,1,train
cordon,shape,0,train
form,technology,0,train
prawn,shellfish,1,train
ganja,marijuana,0,train
purdue,school,1,train
deer,challenge,0,train
airport,tourist,0,train
cockney,english,1,train
house,brick,0,train
magazine,format,0,train
industry,context,0,train
xzibit,artist,1,train
science,subject,1,train
ufo,band,1,train
